bird,year,timestamp,lat,lon,bird_type,displacement_km,displacement_km_log,move_direction,ground_speed,is_moving,u_925,v_925,w_925,t_925,z_925,q_925,u_850,v_850,w_850,t_850,z_850,q_850,u_700,v_700,w_700,t_700,z_700,q_700,ws_925,ws_850,ws_700,wspeed_850,lapse_rate,daylength_h,bird_Art,bird_Bea,bird_Bergen,bird_Caley,bird_Clyde,bird_Hudson,bird_Isabel,bird_Jill,bird_Whit
Art,2012,2012-09-11 15:00:00,43.47333,-71.64667,wind,22.332439367560642,3.1498446398284647,193.26435812253894,18.00555556,1,3.110382080078125,-4.5463104248046875,0.13167476654052734,282.37841796875,8319.25,0.004696941934525967,0.1891937255859375,-7.046234130859375,-0.2458019256591797,281.32763671875,15168.86328125,0.0012225629761815071,5.5107879638671875,-9.800338745117188,0.4635896682739258,275.050048828125,30641.8203125,0.0011068006278946996,3.711363537850864,6.8148438009430805,8.274464323221295,7.048773630404701,7.328369140625,12.676944444444445,1,0,0,0,0,0,0,0,0
Art,2012,2012-09-11 16:00:00,43.18783,-71.8215,wind,34.75316730793447,3.5766388612417597,204.07002318871955,18.00555556,1,2.6235198974609375,-3.7492523193359375,0.12494659423828125,283.9814453125,8342.6875,0.0043096719309687614,0.126922607421875,-6.1878662109375,-0.06495952606201172,280.914306640625,15195.36328125,0.0012923027388751507,5.39471435546875,-9.975128173828125,0.5681915283203125,276.263671875,30693.40234375,0.0011748723918572068,2.3532361875846166,5.598051197022662,6.907518283636658,6.189167762529691,7.7177734375,12.671111111111111,1,0,0,0,0,0,0,0,0
Art,2012,2012-09-11 21:00:00,42.19867,-73.00833,wind,17.285305864585904,2.906097779084404,224.6626458343055,0.0,0,3.874481201171875,-1.4063873291015625,0.2044057846069336,287.732421875,8406.60546875,0.0046687740832567215,5.42181396484375,-3.5010986328125,0.38284778594970703,282.41796875,15329.49609375,0.0022812604438513517,4.98193359375,-8.086349487304688,0.2141704559326172,277.782470703125,31002.57421875,0.0016331396764144301,-1.7231894057136437,-1.3209778278894828,2.2495236935784826,6.45397228891295,9.949951171875,12.650555555555556,1,0,0,0,0,0,0,0,0
Art,2012,2012-09-12 14:00:00,42.02,-73.16317,wind,23.494471786436574,3.1984474507199017,212.90390985168713,0.0,0,0.2904510498046875,-1.8894805908203125,0.03357982635498047,288.034423828125,8800.13671875,0.00507598789408803,1.087554931640625,-2.1110992431640625,0.14267826080322266,284.852783203125,15761.5546875,0.003418366424739361,0.977874755859375,-4.2218475341796875,0.12841129302978516,279.05419921875,31549.80078125,0.0027195916045457125,1.4285931679399826,1.1816482438145015,3.0133779498233193,2.374766460901729,8.980224609375,12.600555555555555,1,0,0,0,0,0,0,0,0
Art,2012,2012-09-12 16:00:00,41.86717,-73.33217,wind,22.32019259875809,3.1493196204000773,220.25253003093817,8.231111111,1,0.3867034912109375,0.4628143310546875,-0.1161956787109375,288.1689453125,8851.23046875,0.006217428483068943,1.4850311279296875,-2.018524169921875,0.15479087829589844,285.5068359375,15813.4140625,0.003255917225033045,0.43841552734375,-4.4512176513671875,0.08780574798583984,279.404052734375,31626.5703125,0.002692891750484705,-0.6030931512302106,0.5809813248782577,3.113901279368762,2.505944387946172,8.764892578125,12.597777777777777,1,0,0,0,0,0,0,0,0
Art,2012,2012-09-12 17:00:00,41.7245,-73.634,wind,29.626579061266426,3.4218682287198687,237.7248109802651,17.49111111,1,0.581787109375,1.48968505859375,0.10589885711669922,288.8662109375,8844.64453125,0.00648393202573061,1.0987548828125,-1.45294189453125,0.028211593627929688,286.119384765625,15823.5546875,0.0032616255339235067,0.525848388671875,-5.2570343017578125,-0.00047016143798828125,279.755126953125,31657.9453125,0.0025143155362457037,-1.2873683856548155,-0.15313869607574027,2.362582944061566,1.821620828105665,9.111083984375,12.595,1,0,0,0,0,0,0,0,0
Art,2012,2012-09-12 18:00:00,41.60567,-73.991,wind,32.465555619846036,3.5105167194282547,246.1026084510146,11.31777778,1,0.919097900390625,1.6819305419921875,0.12394428253173828,289.492919921875,8832.9765625,0.006733558140695095,0.993194580078125,-0.9630889892578125,0.0699148178100586,286.63427734375,15819.44140625,0.0029526646248996258,-0.2938079833984375,-4.5531005859375,0.009080886840820312,279.858154296875,31662.69140625,0.0025524606462568045,-1.5216558440891088,-0.5179030763309571,2.1130814131289846,1.3834651694662203,9.634765625,12.592777777777778,1,0,0,0,0,0,0,0,0
Art,2012,2012-09-12 19:00:00,41.52283,-74.307,wind,27.857359989066254,3.3623650726911665,250.79588992756283,11.31777778,1,0.9231719970703125,2.2002716064453125,0.07645988464355469,290.420654296875,8803.79296875,0.0067210993729531765,1.5851287841796875,-0.0669097900390625,0.0969390869140625,286.1083984375,15803.046875,0.0034986347891390324,-0.5922698974609375,-3.6410369873046875,0.06294536590576172,280.14404296875,31659.296875,0.00247665005736053,-1.5955450377359934,-1.4749118379340862,1.7569740029067502,1.5865403185668008,10.276611328125,12.591388888888888,1,0,0,0,0,0,0,0,0
Art,2012,2012-09-12 20:00:00,41.47333,-74.59017,wind,24.21690555928819,3.2275146251217057,256.9565429037754,10.28888889,1,0.8946380615234375,2.7187042236328125,0.012001991271972656,291.18505859375,8775.703125,0.006686778739094734,1.7588348388671875,0.8424072265625,0.12761211395263672,285.706787109375,15789.375,0.004640187136828899,-0.390472412109375,-3.12615966796875,0.135467529296875,280.497802734375,31665.71484375,0.002362149069085717,-1.4851400625806848,-1.9035783365850776,1.0859409345354871,1.9501666405150326,10.687255859375,12.590277777777779,1,0,0,0,0,0,0,0,0
Art,2012,2012-09-12 21:00:00,41.494,-74.9155,wind,27.197613481118466,3.3392373460337565,274.95543265798113,14.40444444,1,0.5673675537109375,3.8572235107421875,0.04694938659667969,291.7275390625,8749.99609375,0.006643419619649649,1.5366973876953125,1.9520721435546875,0.1381368637084961,286.287353515625,15776.9296875,0.0048733483999967575,-0.0739898681640625,-3.2785186767578125,0.22031688690185547,281.10888671875,31688.94921875,0.00218784948810935,-0.23205667530244706,-1.362331894562492,-0.20948785484016222,2.4843559557744115,10.61865234375,12.590833333333334,1,0,0,0,0,0,0,0,0
Art,2012,2012-09-12 22:00:00,41.46167,-75.0595,wind,12.523495220791762,2.6044285594516112,253.365973491563,0.0,0,2.368896484375,4.002593994140625,0.13722991943359375,291.006103515625,8749.578125,0.006628093309700489,1.486724853515625,0.9965667724609375,0.15350627899169922,286.75634765625,15769.68359375,0.004044281784445047,-0.053802490234375,-3.8161163330078125,0.27121734619140625,281.5390625,31705.0390625,0.0021493842359632254,-3.4155369748548274,-1.7097841491171608,1.143942697447338,1.789831311055393,9.467041015625,12.59,1,0,0,0,0,0,0,0,0
Art,2012,2012-09-13 14:00:00,41.32317,-75.152,wind,17.030882854166446,2.8920860018603896,205.30385488395152,11.83222222,1,3.619781494140625,1.938323974609375,0.15027332305908203,288.98974609375,8888.95703125,0.0062334779649972916,2.0283660888671875,1.673004150390625,0.09340476989746094,288.52978515625,15902.4453125,0.0020280731841921806,-2.310028076171875,2.923248291015625,-0.10238075256347656,280.83203125,31815.3359375,0.0023068897426128387,-3.2995114071930436,-2.3794473263466074,-1.6554245376742536,2.6292987425719865,8.15771484375,12.542222222222222,1,0,0,0,0,0,0,0,0
