bird,timestamp,is_interpolated_gps,is_interpolated_era5,lat,lon,height_raw,ground_speed,heading,is_moving,u_1000,v_1000,w_1000,t_1000,z_1000,q_1000,r_1000,cc_1000,u_925,v_925,w_925,t_925,z_925,q_925,r_925,cc_925,u_850,v_850,w_850,t_850,z_850,q_850,r_850,cc_850,ws_1000,ws_925,ws_850,wspeed_1000,wspeed_925,wspeed_850,wdir_1000,wdir_925,wdir_850,lapse_rate
716,2014-09-04 1:00,1,0,72.70008972,77.9276077,44.55322295,0.349565217,1.555217391,0,6.970153809,-10.00456238,-0.01999855,276.1140137,268.84375,0.003596898,76.76696777,0,7.703964233,-11.48719788,-0.07382679,270.4428711,6392.683594,0.003134366,94.48753357,0.2734375,7.157150269,-10.84373474,-0.046252251,266.302002,12912.52344,0.002454018,94.64183044,0.296875,-9.811704749,-11.27387824,-10.64549284,12.19320764,13.83136942,12.99274348,145.1351689,146.1519607,146.5741386,4.140869141
716,2014-09-04 2:00,1,0,72.7013543,77.92809711,44.31043406,0.323521739,1.57173913,0,7.052307129,-9.802352905,-0.012688637,276.1489258,271.1445313,0.003572731,75.74324036,0,7.679611206,-10.98651123,-0.104821205,270.4440918,6395.449219,0.003132134,93.81949615,0.2578125,6.947311401,-10.6287384,-0.05682373,266.3457031,12915.11719,0.002484095,95.69223022,0.3046875,-9.605230136,-10.77173688,-10.4341846,12.07564318,13.40447154,12.69784296,144.2668553,145.0463118,146.8299794,4.098388672
716,2014-09-04 3:00,1,0,72.70257581,77.92835185,43.96481966,0.297478261,1.58826087,0,7.248397827,-9.320007324,-0.008360863,276.1186523,272.34375,0.003576742,75.70232391,0,7.967514038,-10.51542664,-0.046568871,270.3828125,6396.464844,0.003138052,94.82984161,0.1328125,6.903442383,-9.794525146,-0.086141586,266.307373,12915.39063,0.002479911,95.79766083,0.40625,-9.115524094,-10.29055252,-9.599420686,11.80685426,13.19300865,11.98291449,142.1269192,142.8488763,144.8227984,4.075439453
716,2014-09-04 4:00,1,0,72.70375423,77.928375,43.5360421,0.271434783,1.604782609,0,7.566558838,-8.840744019,-0.012079239,276.0864258,289.5351563,0.003542972,75.45172882,0,8.191879272,-10.04527283,-0.039963722,270.3879395,6412.199219,0.003068519,92.09085846,0.203125,6.986907959,-8.631759644,-0.045843124,266.1230469,12928.11719,0.002484254,97.6374054,0.5,-8.625374437,-9.811918658,-8.432705198,11.6366476,12.96203658,11.10514103,139.4406565,140.8028957,141.0118411,4.264892578
716,2014-09-04 5:00,1,0,72.70488954,77.92816959,43.04376371,0.245391304,1.621304348,0,7.937149048,-8.339065552,0.003061295,276.0083008,313.40625,0.003555477,75.95536804,0,8.475967407,-9.330169678,0.032269478,270.338623,6435.261719,0.003045262,91.28520966,0.2421875,7.595626831,-7.688400269,0.056312561,266.0285645,12949.48828,0.002470576,97.98209381,0.4921875,-8.111158802,-9.086621191,-7.470416802,11.5125301,12.6053199,10.8076383,136.4145452,137.7465077,135.3477788,4.310058594
716,2014-09-04 6:00,1,0,72.70598174,77.92773869,42.50764683,0.219347826,1.637826087,0,8.175170898,-7.840866089,-0.009390831,275.967041,292.8476563,0.003515599,76.06073761,0,8.848434448,-8.620040894,0.058731079,270.3027344,6413.648438,0.00301635,90.72241211,0.3046875,8.126220703,-6.920379639,0.074419022,265.9313965,12926.65625,0.002462093,98.41981506,0.5546875,-7.604003632,-8.363617189,-6.685292307,11.32751518,12.35313309,10.67366466,133.8042314,134.2509225,130.4180838,4.371337891
716,2014-09-04 7:00,1,0,72.70703081,77.92708535,41.9473538,0.193304348,1.654347826,0,8.459747314,-7.165466309,0.006160736,276.0061035,321.8359375,0.003467109,74.50332642,0,9.328201294,-8.102706909,0.049185753,270.2385254,6442.664063,0.003047969,91.92892456,0.4609375,8.860931396,-6.320480347,0.105014801,265.8188477,12952.66406,0.00240074,96.44564056,0.5859375,-6.918248348,-7.830026192,-6.062032487,11.08653382,12.35593779,10.88414338,130.2648372,130.9783904,125.5001689,4.419677734
716,2014-09-04 8:00,1,0,72.70803674,77.92621263,41.38254695,0.16726087,1.670869565,0,8.761764526,-6.533065796,-0.007955551,276.034668,325.5625,0.003420221,73.29910278,0,9.604293823,-7.370330811,0.032514572,270.1818848,6446.792969,0.003045427,92.4190979,0.3671875,9.288421631,-5.876541138,0.054193497,265.5583496,12953.53125,0.002368015,97.34217834,0.5703125,-6.274812129,-7.087154645,-5.603210326,10.92929395,12.10637171,10.99129256,126.709448,127.5026169,122.3204657,4.623535156
716,2014-09-04 9:00,1,0,72.70899951,77.92512357,40.83288864,0.141217391,1.687391304,0,8.946456909,-6.098632813,0.002746582,276.0078125,332.5546875,0.003388614,72.51721191,0,9.965393066,-6.886505127,0.042029381,270.2692871,6453.78125,0.003017158,90.77739716,0.4921875,9.655273438,-5.765228271,0.036087036,265.3427734,12959.95703,0.002358487,98.99038696,0.625,-5.83254838,-6.590075169,-5.478416407,10.82739181,12.11334024,11.24553966,124.2815247,124.6461016,120.8417075,4.926513672
716,2014-09-04 10:00,1,0,72.70991911,77.92382125,40.31804119,0.115173913,1.703913043,0,8.906036377,-5.863311768,0.028973579,276.4233398,382.953125,0.003346905,69.99311066,0,9.750915527,-6.705047607,0.09204483,270.4450684,6511.964844,0.002946362,87.983284,0.0703125,8.7084198,-5.466415405,0.05346489,265.0566406,13019.85547,0.002400384,102.4908142,0.4140625,-5.595902574,-6.412144158,-5.205057739,10.66282837,11.83376597,10.28193916,123.3590106,124.5136825,122.1171543,5.388427734
716,2014-09-04 11:00,1,0,72.71079552,77.9223087,39.85766695,0.089130435,1.720434783,0,8.955749512,-5.042739868,-0.026522636,276.3552246,395.25,0.003305236,69.1710434,0,9.910308838,-6.016159058,0.050480843,270.3535156,6522.984375,0.003005305,91.24073029,0.171875,9.038269043,-4.964309692,0.053177834,265.1022949,13029.17188,0.002321998,98.86320496,0.7578125,-4.771590547,-5.715912449,-4.690718264,10.27787306,11.59346329,10.31187073,119.3826827,121.2602923,118.7779883,5.251220703
716,2014-09-04 12:00,1,0,72.71162873,77.92058899,39.47142826,0.063086957,1.736956522,0,9.068008423,-4.682846069,-0.009979248,276.1086426,395.3945313,0.003361436,71.85005951,0,9.887695313,-5.310714722,0.061190605,270.1311035,6517.160156,0.002988549,91.76564789,0.078125,8.94720459,-4.491348267,0.077877998,265.0698242,13023.99609,0.002354833,101.2361221,0.4765625,-4.405834278,-5.008568933,-4.218086146,10.20577406,11.22364511,10.01122766,117.3124615,118.2403964,116.6558918,5.061279297
716,2014-09-04 13:00,1,0,72.71241873,77.91866517,39.17898745,0.037043478,1.753478261,0,9.167007446,-4.256271362,-0.034323692,276.138916,377.828125,0.003283858,69.32250214,0,10.11372375,-4.926376343,0.044613838,270.1230469,6500.078125,0.003015399,92.14949799,0.21875,9.342407227,-4.1615448,0.079642296,264.9846191,13004.63672,0.00229156,100.0338669,0.4765625,-3.973775279,-4.614597719,-3.873725982,10.10692196,11.24973742,10.22736662,114.9055954,115.9706285,114.0104257,5.138427734
